query_id,logical_query_id,mode,attempt_index,initiator_worker,source_worker,topic,finalized,latency_seconds,nodes_contacted,max_hop,source_reached,pageindex_calls,pageindex_latency_seconds_total,pageindex_latency_seconds_max,pageindex_latency_seconds_avg,pageindex_latency_count,evidence_count,retrieval_success,not_found,final_failed
ufkzbdbg-q1::chain_hop::node5::attempt2,ufkzbdbg-q1::chain_hop::node5,chain_hop,2,node5,node3,Local Education Systems,True,70.19933277598466,3,2,True,3,17.406236480979715,10.519351052003913,5.802078826993238,3,6,True,False,False
ufkzbdbg-q2::chain_hop::node31::attempt1,ufkzbdbg-q2::chain_hop::node31,chain_hop,1,node31,node3,Local Education Systems,True,60.072735485009616,4,3,False,4,32.6307096129749,10.502294687990798,8.157677403243724,4,0,False,True,False
ufkzbdbg-q2::chain_hop::node31::attempt2,ufkzbdbg-q2::chain_hop::node31,chain_hop,2,node31,node3,Local Education Systems,True,60.06583191000391,4,3,False,4,34.99745537596755,12.848574108997127,8.749363843991887,4,0,False,True,False
ufkzbdbg-q3::chain_hop::node12::attempt1,ufkzbdbg-q3::chain_hop::node12,chain_hop,1,node12,node3,Local Education Systems,True,60.04537389698089,1,0,False,1,3.45252940399223,3.45252940399223,3.45252940399223,1,0,False,True,False
ufkzbdbg-q3::chain_hop::node12::attempt2,ufkzbdbg-q3::chain_hop::node12,chain_hop,2,node12,node3,Local Education Systems,True,60.083137543988414,1,0,False,1,3.4568707659782376,3.4568707659782376,3.4568707659782376,1,0,False,True,False
gkvmripm-q1::chain_hop::node31::attempt1,gkvmripm-q1::chain_hop::node31,chain_hop,1,node31,node3,Local Education Systems,True,70.1690698970051,2,1,False,2,18.745732518000295,10.514460648992099,9.372866259000148,2,2,True,False,False
gkvmripm-q1::chain_hop::node31::attempt2,gkvmripm-q1::chain_hop::node31,chain_hop,2,node31,node3,Local Education Systems,True,73.51548257801915,2,1,False,2,16.346839092031587,8.193615362019045,8.173419546015793,2,2,True,False,False
gkvmripm-q2::chain_hop::node21::attempt1,gkvmripm-q2::chain_hop::node21,chain_hop,1,node21,node3,Local Education Systems,True,69.77329960800125,1,0,False,1,8.191413384018233,8.191413384018233,8.191413384018233,1,1,True,False,False
gkvmripm-q2::chain_hop::node21::attempt2,gkvmripm-q2::chain_hop::node21,chain_hop,2,node21,node3,Local Education Systems,True,67.32693749599275,1,0,False,1,8.16064209502656,8.16064209502656,8.16064209502656,1,1,True,False,False
gkvmripm-q3::chain_hop::node9::attempt1,gkvmripm-q3::chain_hop::node9,chain_hop,1,node9,node3,Local Education Systems,True,60.07088896998903,1,0,False,1,3.4615814040007535,3.4615814040007535,3.4615814040007535,1,0,False,True,False
gkvmripm-q3::chain_hop::node9::attempt2,gkvmripm-q3::chain_hop::node9,chain_hop,2,node9,node3,Local Education Systems,True,60.06979483598843,1,0,False,1,3.4512129240029026,3.4512129240029026,3.4512129240029026,1,0,False,True,False
xuheqple-q1::chain_hop::node7::attempt1,xuheqple-q1::chain_hop::node7,chain_hop,1,node7,node4,Local Education Systems,True,102.15922983799828,2,1,True,2,16.3657805910334,12.903509498020867,8.1828902955167,2,9,True,False,False
xuheqple-q1::chain_hop::node7::attempt2,xuheqple-q1::chain_hop::node7,chain_hop,2,node7,node4,Local Education Systems,True,86.0374388420023,2,1,True,2,28.073160631029168,24.616283970011864,14.036580315514584,2,9,True,False,False
xuheqple-q2::chain_hop::node15::attempt1,xuheqple-q2::chain_hop::node15,chain_hop,1,node15,node4,Local Education Systems,True,62.1655893069983,4,3,True,4,18.542904183006613,8.173456977994647,4.635726045751653,4,1,True,False,False
xuheqple-q2::chain_hop::node15::attempt2,xuheqple-q2::chain_hop::node15,chain_hop,2,node15,node4,Local Education Systems,True,65.15221622100216,4,3,True,4,18.54589049704373,8.186495338013628,4.636472624260932,4,1,True,False,False
xuheqple-q3::chain_hop::node26::attempt1,xuheqple-q3::chain_hop::node26,chain_hop,1,node26,node4,Local Education Systems,True,60.19828904501628,4,3,True,4,11.477020684018498,3.47113182299654,2.8692551710046246,4,0,False,True,False
xuheqple-q3::chain_hop::node26::attempt2,xuheqple-q3::chain_hop::node26,chain_hop,2,node26,node4,Local Education Systems,True,70.65574670900241,3,2,True,3,15.063681774016004,8.162134726007935,5.021227258005335,3,2,True,False,False
xdlihuno-q1::chain_hop::node7::attempt1,xdlihuno-q1::chain_hop::node7,chain_hop,1,node7,node4,Local Education Systems,True,65.65492292700219,1,0,False,1,8.156778542004758,8.156778542004758,8.156778542004758,1,4,True,False,False
xdlihuno-q1::chain_hop::node7::attempt2,xdlihuno-q1::chain_hop::node7,chain_hop,2,node7,node4,Local Education Systems,True,99.7025154249859,1,0,False,1,8.168078526010504,8.168078526010504,8.168078526010504,1,4,True,False,False
xdlihuno-q2::chain_hop::node5::attempt1,xdlihuno-q2::chain_hop::node5,chain_hop,1,node5,node4,Local Education Systems,True,65.0941510440025,1,0,False,1,15.217239841993432,15.217239841993432,15.217239841993432,1,6,True,False,False
xdlihuno-q2::chain_hop::node5::attempt2,xdlihuno-q2::chain_hop::node5,chain_hop,2,node5,node4,Local Education Systems,True,67.42593380098697,1,0,False,1,8.158370453980751,8.158370453980751,8.158370453980751,1,5,True,False,False
xdlihuno-q3::chain_hop::node27::attempt1,xdlihuno-q3::chain_hop::node27,chain_hop,1,node27,node4,Local Education Systems,True,64.3576503219956,2,1,False,2,49.24925611400977,41.06426631199429,24.624628057004884,2,5,True,False,False
